SUBSPECIES	CATALOGNO	LAT	LON	Year	ppt_summer	tmin_summer	tmean_summer	tmax_summer	tdmean_summer	vpdmin_summer	vpdmax_summer	ppt_winter	tmin_winter	tmean_winter	tmax_winter	tdmean_winter	vpdmin_winter	vpdmax_winter
pacificus	2703	32.554	-117.121	1931	0.063	63.23	68.15	73.11	59.31	2.582	10.565	2.271	42.16	52.65	63.18	41	0.902	10.828
pacificus	2704	32.554	-117.121	1931	0.063	63.23	68.15	73.11	59.31	2.582	10.565	2.271	42.16	52.65	63.18	41	0.902	10.828
pacificus	2705	32.554	-117.121	1931	0.063	63.23	68.15	73.11	59.31	2.582	10.565	2.271	42.16	52.65	63.18	41	0.902	10.828
pacificus	2706	32.554	-117.121	1931	0.063	63.23	68.15	73.11	59.31	2.582	10.565	2.271	42.16	52.65	63.18	41	0.902	10.828
pacificus	2707	32.554	-117.121	1931	0.063	63.23	68.15	73.11	59.31	2.582	10.565	2.271	42.16	52.65	63.18	41	0.902	10.828
pacificus	2713	32.554	-117.121	1931	0.063	63.23	68.15	73.11	59.31	2.582	10.565	2.271	42.16	52.65	63.18	41	0.902	10.828
pacificus	2714	32.554	-117.121	1931	0.063	63.23	68.15	73.11	59.31	2.582	10.565	2.271	42.16	52.65	63.18	41	0.902	10.828
pacificus	2716	32.554	-117.121	1931	0.063	63.23	68.15	73.11	59.31	2.582	10.565	2.271	42.16	52.65	63.18	41	0.902	10.828
pacificus	2717	32.554	-117.121	1931	0.063	63.23	68.15	73.11	59.31	2.582	10.565	2.271	42.16	52.65	63.18	41	0.902	10.828
pacificus	2718	32.554	-117.121	1931	0.063	63.23	68.15	73.11	59.31	2.582	10.565	2.271	42.16	52.65	63.18	41	0.902	10.828
pacificus	2720	33.275	-117.442	1931	0.129	60.54	68.23	75.95	58.44	1.626	13.477	2.617	40.11	51.95	63.78	36.76	1.34	12.31
pacificus	2721	33.275	-117.442	1931	0.129	60.54	68.23	75.95	58.44	1.626	13.477	2.617	40.11	51.95	63.78	36.76	1.34	12.31
